scrambled_id,year,month,day,mean_temp,high_temp,high_time,low_temp,low_time,heat_deg_days,cool_deg_days,rain,wind_avg,wind_hi,wind_hi_time,dom_dir,mean_barom,mean_hum,flagged,anomaly_note
SC75994,2005,9,1,31.6,37.2,12:42pm,27.1,6:00am,33,0,0.0,2,10,2:14pm,NNW,1000.9,58,N,
SC38827,2005,9,2,31.1,36.0,11:10am,28.2,5:40am,33,0,0.0,2,9,3:14pm,ENE,1003.96,55,N,
SC65036,2005,9,3,30.5,35.6,12:19pm,27.7,6:25am,34,0,0.0,2,9,3:46pm,ENE,1003.92,58,N,
SC85975,2005,9,4,29.6,33.2,1:27pm,27.0,4:38am,34,0,0.0,3,10,3:15pm,ENE,999.87,66,N,
SC34708,2005,9,5,30.6,34.5,10:10am,27.2,5:46am,34,0,0.0,2,9,12:06pm,ENE,1001.56,60,N,
SC74505,2005,9,6,29.8,34.3,11:41am,27.0,11:53pm,35,0,1.0,1,9,1:28pm,ENE,1003.86,66,N,
SC34331,2005,9,7,27.2,29.6,9:10pm,25.3,7:07am,37,0,10.0,1,8,5:31am,NNW,1003.32,76,N,
SC88484,2005,9,8,30.1,36.9,1:14pm,26.8,5:53am,35,0,5.0,1,8,2:21pm,ENE,1003.31,64,N,
SC56653,2005,9,9,29.3,35.9,3:07pm,25.8,5:51pm,35,0,14.0,2,9,11:34am,SSW,1005.1,75,N,
SC21518,2005,9,10,27.6,32.0,1:19pm,22.3,10:24pm,36,0,0.0,2,12,9:59pm,SSW,1002.19,73,N,
SC94755,2005,9,11,27.8,32.9,2:25pm,23.8,1:19am,36,0,1.0,3,10,1:56am,SSW,1004.23,67,N,
SC77119,2005,9,12,30.4,34.1,2:33pm,26.9,5:26am,34,0,0.0,3,10,8:20am,SSW,1002.14,49,N,
SC13537,2005,9,13,30.4,34.8,3:57pm,27.0,4:57am,33,0,0.0,4,13,12:50pm,SSW,1002.66,46,N,
SC33787,2005,9,14,30.7,35.9,2:52pm,27.6,4:39am,33,0,0.0,3,13,2:45pm,SSW,1006.64,55,N,
SC92716,2005,9,15,29.4,33.0,11:09am,27.2,6:18am,34,0,0.0,3,10,10:11am,SSW,1006.92,61,N,
SC65077,2005,9,16,30.4,36.6,2:04pm,26.2,5:55am,34,0,0.0,3,9,2:01am,SSW,1007.98,51,N,
SC90238,2005,9,17,30.9,36.8,2:05pm,27.2,5:57am,33,0,0.0,3,9,1:43am,ENE,1007.02,53,N,
SC95269,2005,9,18,31.7,36.0,2:24pm,27.6,5:57am,32,0,0.0,3,11,11:58am,SSW,1008.65,37,N,
SC90532,2005,9,19,31.2,34.4,2:52pm,28.2,6:02am,34,0,0.0,3,11,9:38am,SSW,1007.17,33,N,
SC66920,2005,9,20,30.0,33.4,3:36pm,27.0,5:50am,33,0,0.0,4,12,11:53am,SSW,1002.88,41,N,
SC66952,2005,9,21,31.2,36.7,1:41pm,27.7,5:58am,34,0,0.0,4,13,11:20am,SE,1006.68,43,N,
SC75817,2005,9,22,28.8,33.1,10:28am,25.9,6:07am,34,0,0.0,4,10,1:13pm,SE,1008.14,66,N,
SC62330,2005,9,23,30.4,35.4,12:01pm,25.7,2:35am,35,0,2.0,3,10,12:26am,SE,1008.74,59,N,
SC89451,2005,9,24,30.8,36.2,1:17pm,27.4,5:47am,34,0,0.0,3,9,4:02am,ENE,1010.77,58,N,
SC60995,2005,9,25,29.3,35.0,2:25pm,22.0,3:22am,35,0,0.0,2,11,2:53am,ENE,1009.83,71,N,
SC53920,2005,9,26,29.5,35.1,1:16pm,25.2,5:47am,34,0,0.0,2,9,2:55pm,SSW,1007.33,62,N,
SC66589,2005,9,27,29.3,34.5,11:57am,26.0,1:39pm,35,0,1.0,1,8,12:42pm,SSW,1007.01,66,N,
SC41084,2005,9,28,29.7,34.5,12:43pm,26.0,5:32am,35,0,0.0,2,10,3:30pm,ENE,1007.82,54,N,
SC31118,2005,9,29,29.2,33.7,2:37pm,26.1,5:41am,36,0,0.0,2,10,9:20am,SSW,1008.25,60,N,
SC98770,2005,9,30,29.8,34.7,2:37pm,26.1,4:17am,35,0,1.0,1,9,4:29am,SSW,981.08,58,N,
SC86783,2005,10,1,29.3,34.8,2:14pm,26.0,6:14am,35,0,0.0,1,8,6:19am,SSW,601.23,57,Y,Unusual pressure
SC82261,2005,10,2,28.7,34.5,12:31pm,25.4,4:17am,34,0,0.0,2,10,9:05am,SSW,627.47,59,Y,Unusual pressure
SC45341,2005,10,3,29.7,34.4,11:15am,26.3,5:35am,34,0,0.0,2,9,3:11pm,ENE,1007.73,63,N,
SC89380,2005,10,4,30.5,35.5,12:17pm,27.2,5:11am,34,0,0.0,2,10,3:24pm,ENE,1009.13,54,N,
SC60173,2005,10,5,29.5,35.1,11:58am,26.0,5:06am,34,0,0.0,2,8,1:17pm,ENE,1009.39,61,N,
SC47331,2005,10,6,29.9,33.8,12:52pm,27.7,4:24am,34,0,0.0,2,11,3:23pm,ENE,1009.22,62,N,
